markup,product_type,code,description,ipi,supplier_id,supplier_price,width,supplier_table_discount
"2,30",1,9800122,CAMENGO ABRACADABRA,"15,00%",13,"156,52","0,176",0
"2,30",1,9800233,CAMENGO ABRACADABRA,"15,00%",13,"156,52","0,176",0
"2,30",1,9810141,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9810252,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9820130,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9830123,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9830345,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9840256,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9840370,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9850155,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9850260,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9850365,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9860170,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9860275,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9860380,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9870185,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9870290,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9870395,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9880121,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9880232,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9880343,CAMENGO ABRACADABRA,"15,00%",13,"260,87","0,53",0
"2,30",1,9890125,CAMENGO ABRACADABRA,"15,00%",13,"156,52","0,176",0
